

Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.100114	
0.05 	0.049996	
0.033 	0.032998	
0.025 	0.024998	
0.02 	0.020001	
 
CBR Pkt_size:	 150
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.099992	
0.05 	0.049996	
0.033 	0.032998	
0.025 	0.024998	
0.02 	0.020001	
 
CBR Pkt_size:	 200
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.100242	
0.05 	0.050001	
0.033 	0.033011	
0.025 	0.025013	
0.02 	0.019998	
 
CBR Pkt_size:	 250
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.099989	
0.05 	0.049995	
0.033 	0.032997	
0.025 	0.024998	
0.02 	0.020000	
 
CBR Pkt_size:	 50
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.100002	
0.05 	0.050000	
0.033 	0.033000	
0.025 	0.025000	
0.02 	0.020006	
 
CBR Pkt_size:	 100
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.100015	
0.05 	0.050011	
0.033 	0.033000	
0.025 	0.025000	
0.02 	0.020000	
 
CBR Pkt_size:	 150
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.100002	
0.05 	0.050000	
0.033 	0.033000	
0.025 	0.025000	
0.02 	0.020012	
 
CBR Pkt_size:	 200
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.100004	
0.05 	0.050001	
0.033 	0.033000	
0.025 	0.025000	
0.02 	0.020000	
 
CBR Pkt_size:	 250
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.100001	
0.05 	0.050011	
0.033 	0.033000	
0.025 	0.025000	
0.02 	0.020004	
 


No.of nodes:	 20
Area:	 1000 x 1000
Mobility:	 50
 
CBR Pkt_size:	 50
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.105838	
0.05 	0.050986	
0.033 	0.035427	
0.025 	0.025857	
0.02 	0.022423	
 
CBR Pkt_size:	 100
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.101786	
0.05 	0.050955	
0.033 	0.033752	
0.025 	0.028860	
0.02 	0.020450	
 
CBR Pkt_size:	 150
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.101268	
0.05 	0.050568	
0.033 	0.036426	
0.025 	0.025592	
0.02 	0.021030	
 
CBR Pkt_size:	 200
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.102056	
0.05 	0.050956	
0.033 	0.034539	
0.025 	0.025790	
0.02 	0.023122	
 
CBR Pkt_size:	 250
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.102057	
0.05 	0.050826	
0.033 	0.033952	
0.025 	0.028633	
0.02 	0.024231	
 
CBR Pkt_size:	 50
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.101019	
0.05 	0.050253	
0.033 	0.033247	
0.025 	0.025189	
0.02 	0.021221	
 
CBR Pkt_size:	 100
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.105835	
0.05 	0.050505	
0.033 	0.033191	
0.025 	0.025317	
0.02 	0.021357	
 
CBR Pkt_size:	 150
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.101545	
0.05 	0.050188	
0.033 	0.033136	
0.025 	0.025543	
0.02 	0.020202	
 
CBR Pkt_size:	 200
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.101268	
0.05 	0.051767	
0.033 	0.033386	
0.025 	0.025269	
0.02 	0.021875	
 
CBR Pkt_size:	 250
Node Speed:	 8
 
 	 ZRP 	 OLSR
0.1 	0.101269	
0.05 	0.050378	
0.033 	0.033787	
0.025 	0.025608	
0.02 	0.024557	
 
CBR Pkt_size:	 50
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.100764	
0.05 	0.050256	
0.033 	0.033166	
0.025 	0.025366	
0.02 	0.023121	
 
CBR Pkt_size:	 100
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.100766	
0.05 	0.050192	
0.033 	0.033305	
0.025 	0.033759	
0.02 	0.027922	
 
CBR Pkt_size:	 150
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.101279	
0.05 	0.051290	
0.033 	0.034305	
0.025 	0.026659	
0.02 	0.027089	
 
CBR Pkt_size:	 200
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.106419	
0.05 	0.055330	
0.033 	0.033223	
0.025 	0.025287	
0.02 	0.029972	
 
CBR Pkt_size:	 250
Node Speed:	 6
 
 	 ZRP 	 OLSR
0.1 	0.100771	
0.05 	0.050961	
0.033 	0.033169	
0.025 	0.029222	
0.02 	0.031220	
 
CBR Pkt_size:	 50
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.100767	
0.05 	0.050383	
0.033 	0.035428	
0.025 	0.033651	
0.02 	0.029905	
 
CBR Pkt_size:	 100
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.103915	
0.05 	0.052567	
0.033 	0.035461	
0.025 	0.027551	
0.02 	0.025900	
 
CBR Pkt_size:	 150
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.104187	
0.05 	0.052567	
0.033 	0.039408	
0.025 	0.029720	
0.02 	0.032067	
 
CBR Pkt_size:	 200
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.104188	
0.05 	0.052707	
0.033 	0.035939	
0.025 	0.030101	
0.02 	0.028362	
 
CBR Pkt_size:	 250
Node Speed:	 4
 
 	 ZRP 	 OLSR
0.1 	0.104189	
0.05 	0.051954	
0.033 	0.038351	
0.025 	0.028636	
0.02 	0.025322	
 
CBR Pkt_size:	 50
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.100511	
0.05 	0.050128	
0.033 	0.033139	
0.025 	0.025191	
0.02 	0.023687	
 
CBR Pkt_size:	 100
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.100512	
0.05 	0.050133	
0.033 	0.033085	
0.025 	0.025191	
0.02 	0.020356	
 
CBR Pkt_size:	 150
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.100547	
0.05 	0.050203	
0.033 	0.033259	
0.025 	0.025187	
0.02 	0.024343	
 
CBR Pkt_size:	 200
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.100768	
0.05 	0.050136	
0.033 	0.033140	
0.025 	0.025781	
0.02 	0.022419	
 
CBR Pkt_size:	 250
Node Speed:	 2
 
 	 ZRP 	 OLSR
0.1 	0.100771	
0.05 	0.050199	
0.033 	0.041496	
0.025 	0.025620	
0.02 	0.024719	
 


No.of nodes:	 80
Area:	 1000 x 1000
Mobility:	 50
 
CBR Pkt_size:	 50
Node Speed:	 10
 
 	 ZRP 	 OLSR
0.1 	0.125252	
0.05 	0.060003	
0.033 	0.049372	
0.025 	0.036304	
0.02 	0.032934	
 
CBR Pkt_size:	 100
Node Speed:	 10
 
